year,avg_temp_oslo,avg_temp_global,year,ma_oslo,ma_globally,difference
1750,3.57,8.72,1750,,,
1751,3.06,7.98,1751,,,
1752,-2.24,5.78,1752,,,
1753,2.15,8.39,1753,,,
1754,2.18,8.47,1754,,,
1755,1.8,8.36,1755,,,
1756,2.31,8.85,1756,,,
1757,2.52,9.02,1757,,,
1758,1.45,6.74,1758,,,
1759,2.64,7.99,1759,,,
1760,1.75,7.19,1760,,,
1761,2.97,8.77,1761,,,
1762,1.9,8.61,1762,,,
1763,1.91,7.5,1763,,,
1764,2.13,8.4,1764,,,
1765,1.45,8.25,1765,,,
1766,2.93,8.41,1766,,,
1767,1.66,8.22,1767,,,
1768,1.73,6.78,1768,,,
1769,2.03,7.69,1769,,,
1770,1.8,7.69,1770,,,
1771,1.5,7.85,1771,,,
1772,1.73,8.19,1772,,,
1773,2.99,8.22,1773,,,
1774,1.42,8.77,1774,,,
1775,3.38,9.18,1775,,,
1776,2.27,8.3,1776,,,
1777,1.85,8.26,1777,,,
1778,2.36,8.54,year,ma_oslo,ma_globally,difference
1779,3.98,8.98,1779, 2.11 , 8.14 , 6.03 
1780,2.2,9.43,1780, 2.06 , 8.16 , 6.10 
1781,3.04,8.1,1781, 2.06 , 8.16 , 6.10 
1782,1.32,7.9,1782, 2.18 , 8.24 , 6.06 
1783,2.85,7.68,1783, 2.20 , 8.21 , 6.01 
1784,0.61,7.86,1784, 2.15 , 8.19 , 6.04 
1785,1.33,7.36,1785, 2.13 , 8.16 , 6.02 
1786,1.08,8.26,1786, 2.09 , 8.14 , 6.05 
1787,2.3,8.03,1787, 2.09 , 8.11 , 6.02 
1788,1.83,8.45,1788, 2.10 , 8.16 , 6.06 
1789,2.7,8.33,1789, 2.10 , 8.17 , 6.07 
1790,2.72,7.98,1790, 2.13 , 8.20 , 6.07 
1791,2.89,8.23,1791, 2.13 , 8.18 , 6.05 
1792,2.51,8.09,1792, 2.15 , 8.16 , 6.01 
1793,2.49,8.23,1793, 2.17 , 8.19 , 6.02 
1794,3.28,8.53,1794, 2.21 , 8.19 , 5.99 
1795,1.55,8.35,1795, 2.21 , 8.20 , 5.99 
1796,2.7,8.27,1796, 2.20 , 8.19 , 5.99 
1797,3.39,8.51,1797, 2.26 , 8.20 , 5.94 
1798,3.33,8.67,1798, 2.31 , 8.26 , 5.95 
1799,0.92,8.51,1799, 2.28 , 8.29 , 6.01 
1800,1.72,8.48,1800, 2.27 , 8.32 , 6.04 
1801,2.35,8.59,1801, 2.30 , 8.34 , 6.04 
1802,2.02,8.58,1802,2.312666667,8.355666667,6.043
1803,1.62,8.5,1803,2.267,8.365,6.098
1804,1.75,8.84,1804,2.278,8.367333333,6.089333333
1805,1.06,8.56,1805,2.200666667,8.346666667,6.146
1806,2.13,8.43,1806,2.196,8.351,6.155
1807,1.86,8.28,1807,2.196333333,8.351666667,6.155333333
1808,1.92,7.63,1808,2.181666667,8.321333333,6.139666667
1809,1.57,7.08,1809,2.101333333,8.258,6.156666667
1810,1.59,6.92,1810,2.081,8.174333333,6.093333333
1811,2.99,6.86,1811,2.079333333,8.133,6.053666667
1812,0.9,7.05,1812,2.065333333,8.104666667,6.039333333
1813,2.46,7.74,1813,2.052333333,8.106666667,6.054333333
1814,1.11,7.59,1814,2.069,8.097666667,6.028666667
1815,2.21,7.24,1815,2.098333333,8.093666667,5.995333333
1816,1.36,6.94,1816,2.107666667,8.049666667,5.942
1817,2.09,6.98,1817,2.100666667,8.014666667,5.914
1818,2.72,7.83,1818,2.130333333,7.994,5.863666667
1819,2.67,7.37,1819,2.129333333,7.962,5.832666667
1820,1.61,7.62,1820,2.092333333,7.95,5.857666667
1821,2.31,8.09,1821,2.073,7.945333333,5.872333333
1822,3.74,8.19,1822,2.114,7.948666667,5.834666667
1823,2.07,7.72,1823,2.1,7.931666667,5.831666667
1824,2.95,8.55,1824,2.089,7.932333333,5.843333333
1825,3.09,8.39,1825,2.140333333,7.933666667,5.793333333
1826,3.65,8.36,1826,2.172,7.936666667,5.764666667
1827,2,8.81,1827,2.125666667,7.946666667,5.821
1828,2.59,8.17,1828,2.101,7.93,5.829
1829,1.01,7.94,1829,2.104,7.911,5.807
1830,1.9,8.52,1830,2.11,7.912333333,5.802333333
1831,2.67,7.64,1831,2.120666667,7.880666667,5.76
1832,2.79,7.45,1832,2.146333333,7.843,5.696666667
1833,2.49,8.01,1833,2.175333333,7.826666667,5.651333333
1834,3.27,8.15,1834,2.226,7.803666667,5.577666667
1835,2.35,7.39,1835,2.269,7.764666667,5.495666667
1836,1.43,7.7,1836,2.245666667,7.740333333,5.494666667
1837,1.61,7.38,1837,2.237333333,7.710333333,5.473
1838,0.47,7.51,1838,2.189,7.706333333,5.517333333
1839,1.47,7.63,1839,2.185666667,7.724666667,5.539
1840,1.87,7.8,1840,2.195,7.754,5.559
1841,1.72,7.69,1841,2.152666667,7.781666667,5.629
1842,3.18,8.02,1842,2.228666667,7.814,5.585333333
1843,2.34,8.17,1843,2.224666667,7.828333333,5.603666667
1844,1.04,7.65,1844,2.222333333,7.830333333,5.608
1845,1.66,7.85,1845,2.204,7.850666667,5.646666667
1846,3.32,8.55,1846,2.269333333,7.904333333,5.635
1847,2.21,8.09,1847,2.273333333,7.941333333,5.668
1848,1.81,7.98,1848,2.243,7.946333333,5.703333333
1849,1.45,7.98,1849,2.202333333,7.966666667,5.764333333
1850,1.75,7.9,1850,2.207,7.976,5.769
1851,2.24,8.18,1851,2.204666667,7.979,5.774333333
1852,2.65,8.1,1852,2.168333333,7.976,5.807666667
1853,1.94,8.04,1853,2.164,7.986666667,5.822666667
1854,2.72,8.21,1854,2.156333333,7.975333333,5.819
1855,1.07,8.11,1855,2.089,7.966,5.877
1856,1.24,8,1856,2.008666667,7.954,5.945333333
1857,3.06,7.76,1857,2.044,7.919,5.875
1858,2.96,8.1,1858,2.056333333,7.916666667,5.860333333
